C7057|Disease, Disorder or Finding
C60273|Ureter Infection Adverse Event with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C62578|Capillary Leak Syndrome
C34450|Carpal Tunnel Syndrome
C123225|Cardiorenal Syndrome
C60276|Urethra Infection Adverse Event with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59611|CTCAE Grade 3 Ungual Infection with Unknown Absolute Neutrophil Count
C59375|CTCAE Grade 2 Ungual Infection with Unknown Absolute Neutrophil Count
C59847|CTCAE Grade 4 Ungual Infection with Unknown Absolute Neutrophil Count
C60279|Urinary Tract Infection NOS Adverse Event with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59378|CTCAE Grade 2 Upper Aerodigestive Infection NOS with Unknown Absolute Neutrophil Count
C59614|CTCAE Grade 3 Upper Aerodigestive Infection NOS with Unknown Absolute Neutrophil Count
C59850|CTCAE Grade 4 Upper Aerodigestive Infection NOS with Unknown Absolute Neutrophil Count
C56135|Neck Pain Adverse Event
C60272|Ureter Infection Adverse Event Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C56140|Neuralgia and Peripheral Nerve Pain Adverse Event
C60275|Urethra Infection Adverse Event Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59381|CTCAE Grade 2 Upper Airway Infection NOS with Unknown Absolute Neutrophil Count
C59853|CTCAE Grade 4 Upper Airway Infection NOS with Unknown Absolute Neutrophil Count
C59617|CTCAE Grade 3 Upper Airway Infection NOS with Unknown Absolute Neutrophil Count
C40866|Vasoconstriction
C56145|Oral Cavity Pain Adverse Event
C85172|Subvalvular Aortic Stenosis
C58046|CTCAE Grade 1 Oral Cavity Pulmonary Fistula
C60278|Urinary Tract Infection NOS Adverse Event Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C58109|CTCAE Grade 3 Oral Cavity Pulmonary Fistula
C58076|CTCAE Grade 2 Oral Cavity Pulmonary Fistula
C80426|Coronary Artery Number of Diseased Vessels (Excludes Left Main Disease)
C80428|Left Main Coronary Artery Stenosis
C80429|Proximal Left Anterior Descending Coronary Artery Stenosis
C85176|Supravalvular Aortic Stenosis
C58049|CTCAE Grade 1 Pharynx Pulmonary Fistula
C58112|CTCAE Grade 3 Pharynx Pulmonary Fistula
C58079|CTCAE Grade 2 Pharynx Pulmonary Fistula
C58080|CTCAE Grade 2 Pleura Fistula
C127822|Venous Insufficiency
C58113|CTCAE Grade 3 Pleura Fistula
C35617|Post Abortion Hemorrhage
C58050|CTCAE Grade 1 Pleura Fistula
C125492|First Trimester Antepartum Hemorrhage
C125493|Second Trimester Antepartum Hemorrhage
C125494|Third Trimester Antepartum Hemorrhage
C35220|Postcoital Bleeding
C118255|Lightheadedness
C117082|New Daily Persistent Headache
C117315|Subependymal Pseudocyst
C117079|Primary Exertional Headache
C5039|Motor Manifestations
C117078|Primary Cough Headache
C79473|Reproductive System Stenosis
C118136|Parietal Decidual Spiral Vessel with Fibrinoid Necrosis-Atherosis
C4069|Ovarian Endometriotic Cyst
C4927|Benign Ovarian Cyst
C117337|Placental Finding
C116925|Motor Stereotypy
C35166|Manic Psychosis
C95073|Delayed Sleep Phase Type Circadian Rhythm Sleep Disorder
C95074|Jet Lag Type Circadian Rhythm Sleep Disorder
C95075|Shift Work Type Circadian Rhythm Sleep Disorder
C116343|Idiopathic Hypersomnia
C84767|Hydrops Fetalis
C94389|Unspecified Type Delusional Disorder
C28286|Insomnia
C3362|Schizophrenia
C54712|Malignant Epithelial Cells with Abundant Cytoplasmic Neutral Lipids Present
C60922|Absence of Invasion or Limited Invasion Present
C42069|Maturing Ganglion Cells Present
C54686|Melanoma Cells Present
C94349|Premature Ejaculation
C94338|Sexual Aversion Disorder
C94356|Sexual Masochism
C126770|Dedifferentiated Malignant Infiltrate
C126305|Dilated Cystic Spaces Present
C75476|Holoprosencephaly Type 1
C74995|Holoprosencephaly Type 2
C75475|Holoprosencephaly Type 4
C62127|Duct-Like Structures Present
C124845|Hyperglycerolemia
C59619|CTCAE Grade 3 Ureter Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59383|CTCAE Grade 2 Ureter Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59855|CTCAE Grade 4 Ureter Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C99054|Sacral Agenesis
C27169|Central Sleep Apnea Syndrome
C116379|Cerebellar Mutism
C59386|CTCAE Grade 2 Urethra Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59622|CTCAE Grade 3 Urethra Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C60083|CTCAE Grade 5 Ungual Infection with Unknown Absolute Neutrophil Count
C59858|CTCAE Grade 4 Urethra Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59625|CTCAE Grade 3 Urinary Tract Infection NOS with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59389|CTCAE Grade 2 Urinary Tract Infection NOS with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59861|CTCAE Grade 4 Urinary Tract Infection NOS with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C60086|CTCAE Grade 5 Upper Aerodigestive Infection NOS with Unknown Absolute Neutrophil Count
C56136|CTCAE Grade 1 Neck Pain
C56137|CTCAE Grade 2 Neck Pain
C56138|CTCAE Grade 3 Neck Pain
C59382|CTCAE Grade 2 Ureter Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59618|CTCAE Grade 3 Ureter Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59854|CTCAE Grade 4 Ureter Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C56141|CTCAE Grade 1 Neuralgia and Peripheral Nerve Pain
C56142|CTCAE Grade 2 Neuralgia and Peripheral Nerve Pain
C56143|CTCAE Grade 3 Neuralgia and Peripheral Nerve Pain
C59385|CTCAE Grade 2 Urethra Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59621|CTCAE Grade 3 Urethra Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59857|CTCAE Grade 4 Urethra Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C60089|CTCAE Grade 5 Upper Airway Infection NOS with Unknown Absolute Neutrophil Count
C34515|Coronary Vasospasm
C56148|CTCAE Grade 3 Oral Cavity Pain
C56147|CTCAE Grade 2 Oral Cavity Pain
C58140|CTCAE Grade 4 Oral Cavity Pulmonary Fistula
C56146|CTCAE Grade 1 Oral Cavity Pain
C59388|CTCAE Grade 2 Urinary Tract Infection NOS Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C58171|CTCAE Grade 5 Oral Cavity Pulmonary Fistula
C98643|Venous Stenosis
C59860|CTCAE Grade 4 Urinary Tract Infection NOS Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59624|CTCAE Grade 3 Urinary Tract Infection NOS Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C80492|Left Main Coronary Artery Stenosis, Percentage
C58143|CTCAE Grade 4 Pharynx Pulmonary Fistula
C80493|Proximal Left Anterior Descending Coronary Artery Stenosis, Percentage
C58174|CTCAE Grade 5 Pharynx Pulmonary Fistula
C58144|CTCAE Grade 4 Pleura Fistula
C58175|CTCAE Grade 5 Pleura Fistula
C111655|Ventricular Dysfunction
C34937|Postmenopausal Hemorrhage
C78686|Uterine Hemorrhage
C92853|Postpartum Hemorrhage
C117070|Tension Headache
C116721|Palsy
C35118|Vascular Headache
C35053|Syncope
C122444|Decreased Physical Activity
C50458|Ambulation Difficulty
C78697|Uterine Cervical Stenosis
C78303|Gait Disturbance
C36064|Vaginal Stricture
C34937|Postmenopausal Hemorrhage
C5215|Complex Ovarian Cyst
C118156|Absent Physiologic Conversion of Uteroplacental Vessel
C34516|Corpus Luteum Cyst
C34617|Follicular Cyst of Ovary
C118143|Accelerated Placental Villous Maturation
C118140|Appropriate Placental Villous Maturation
C116758|Tic
C94376|Schizophreniform Disorder
C84800|Kleine-Levin Syndrome
C84489|Narcolepsy
C111904|Immune Hydrops Fetalis
C103920|Hemoglobin Barts
C111905|Non-Immune Hydrops Fetalis
C116361|Behavioral Insomnia of Childhood
C94391|Shared Psychotic Disorder
C35804|Conditioned Insomnia
C35526|Chronic Insomnia
C35003|Catatonic Type Schizophrenia
C35004|Childhood Schizophrenia
C35270|Chronic Schizophrenia
C35471|Nucleated Red Blood Cells Present
C41429|Absence of Malignant Features
C95964|Pancreatobiliary-Type Malignant Cells Present
C129904|Persistent Neuroblastic Cells
C94358|Sexual Sadism
C94350|Substance-Induced Sexual Dysfunction
C94359|Transvestic Fetishism
C60876|Ectopic Thyroid Tissue Present
C75460|Holoprosencephaly Type 5
C132486|Ectopic Tissue
C61415|Embryoid Bodies Present
C123429|Hyperkalemic Periodic Paralysis
C60091|CTCAE Grade 5 Ureter Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C34411|Cervicocranial Syndrome
C120408|Chromosome 16p11.2 Deletion Syndrome
C126692|Chromosome 15q11-q13 Duplication Syndrome
C60094|CTCAE Grade 5 Urethra Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C60274|Ureter Infection Adverse Event with Unknown Absolute Neutrophil Count
C60097|CTCAE Grade 5 Urinary Tract Infection NOS with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C60277|Urethra Infection Adverse Event with Unknown Absolute Neutrophil Count
C56139|CTCAE Grade 4 Neck Pain
C60090|CTCAE Grade 5 Ureter Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C60093|CTCAE Grade 5 Urethra Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C56144|CTCAE Grade 4 Neuralgia and Peripheral Nerve Pain
C56149|CTCAE Grade 4 Oral Cavity Pain
C60280|Urinary Tract Infection NOS Adverse Event with Unknown Absolute Neutrophil Count
C124516|Vessel Common Origin
C60096|CTCAE Grade 5 Urinary Tract Infection NOS Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C111645|Inferior Vena Cava Stenosis
C99036|Pulmonary Vein Stenosis
C58205|Trachea Fistula Adverse Event
C114850|Subclavian Vein Stenosis
C50629|Left Ventricular Dysfunction
C50733|Right Ventricular Dysfunction
C26945|Vaginal Hemorrhage
C114375|Early Postpartum Hemorrhage
C114376|Late Postpartum Hemorrhage
C117310|Poor Sucking Reflex
C100018|Syncope with High Risk Cardiac Characteristics
C35120|Vasovagal Syncope
C2962|Seizure
C43248|Hyperreflexia
C122435|Impaired Balance
C3834|Ataxic Gait
C122478|Gait Unsteady
C120373|Sex Hormone-Binding Globulin Deficiency
C3973|Ovarian Germinal Inclusion Cyst
C92720|Pregnancy Finding
C118152|Avascular Placental Villi
C3855|Simple Ovarian Cyst
C129729|Autonomous Ovarian Follicular Cyst
C26776|Solitary Follicular Cyst of Ovary
C117344|Bilobate Placenta
C118146|Chorangiosis
C116762|Complex Tic
C116759|Motor Tic
C116760|Phonic Tic
C117287|Night Terrors
C94836|Parasomnia
C129029|Hyperornithinemia-Hyperammonemia-Homocitrullinuria Syndrome
C35581|Initial Insomnia
C35609|Exacerbated Insomnia
C35647|Insomnia due to Organic Factor
C35005|Disorganized Type Schizophrenia
C35182|Latent Chronic Schizophrenia
C34759|Latent Schizophrenia
C35184|Residual Chronic Schizophrenia
C42074|Scattered Collections of Differentiating Neuroblasts Present
C39721|Abundance of Small Lymphocytes
C62561|Shadow Cells Present
C41007|Sheets of Interfollicular Plasma Cells Present
C61591|Endometrial Type Glands and Stroma Present
C94360|Voyeurism
C118844|Hypohidrotic Ectodermal Dysplasia with Immune Deficiency
C96352|Entrapped Gray Matter Present
C96353|Entrapped White Matter Present
C84775|Hypokalemic Periodic Paralysis
C60282|Uterus Infection Adverse Event with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C129875|Chromosome 16p12.1 Deletion Syndrome
C116380|Chronic Infantile Neurological Cutaneous and Articular Syndrome
C34481|Churg-Strauss Syndrome
C60285|Vagina Infection Adverse Event with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59384|CTCAE Grade 2 Ureter Infection with Unknown Absolute Neutrophil Count
C59620|CTCAE Grade 3 Ureter Infection with Unknown Absolute Neutrophil Count
C59856|CTCAE Grade 4 Ureter Infection with Unknown Absolute Neutrophil Count
C60288|Vein Infection Adverse Event with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59387|CTCAE Grade 2 Urethra Infection with Unknown Absolute Neutrophil Count
C59623|CTCAE Grade 3 Urethra Infection with Unknown Absolute Neutrophil Count
C59859|CTCAE Grade 4 Urethra Infection with Unknown Absolute Neutrophil Count
C56150|Oral Pain of the Gums Adverse Event
C60284|Vagina Infection Adverse Event Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C60281|Uterus Infection Adverse Event Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C56155|Ovulatory Pain Adverse Event
C59390|CTCAE Grade 2 Urinary Tract Infection NOS with Unknown Absolute Neutrophil Count
C56160|Pain NOS Adverse Event
C59626|CTCAE Grade 3 Urinary Tract Infection NOS with Unknown Absolute Neutrophil Count
C59862|CTCAE Grade 4 Urinary Tract Infection NOS with Unknown Absolute Neutrophil Count
C127604|Volume at End Ventricular Diastole
C60287|Vein Infection Adverse Event Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C111653|Superior Vena Cava Stenosis
C58054|CTCAE Grade 1 Trachea Fistula
C58086|CTCAE Grade 2 Trachea Fistula
C58119|CTCAE Grade 3 Trachea Fistula
C64251|Left Ventricular Systolic Dysfunction
C50846|Right Ventricular Failure
C8282|Sexual Dysfunction and Infertility
C114994|Untreated Central Nervous System Neoplasm
C5040|Sensory Manifestations
C50436|Petit Mal Seizure
C116503|Febrile Seizure
C50574|Grand Mal Seizure
C50660|Muscular Tic
C78453|Involuntary Movements
C34832|Myoclonic Jerk
C5218|Unilocular Ovarian Cyst
C120907|Spermatic Stasis
C113488|Braxton-Hicks Contraction
C92743|Birthing Labor
C92746|Breast Engorgement
C118157|Chronic Uteroplacental Vasculitis
C5216|Functional Ovarian Cyst
C5217|Retention Ovarian Cyst
C117347|Circumvallate Placenta
C117346|Circummarginate Placenta
C116761|Simple Tic
C95076|Nightmare Disorder
C35604|Sleep Disorder due to General Medical Condition
C95077|Sleep Terror Disorder
C129973|Idiopathic Basal Ganglia Calcification 1
C95078|Sleepwalking
C35582|Middle Insomnia
C35421|Nonorganic Insomnia
C34949|Primary Insomnia
C35006|Paranoid Type Schizophrenia
C35181|Latent Subchronic Schizophrenia
C35721|Paraphrenia
C38649|Vacuolated Plasma Cells in the Bone Marrow
C54252|Acantholysis
C129074|Immunodeficiency with Hyper-IgM Type 2
C53638|Epithelioid Component Present
C92203|Substance-Related Disorder
C53596|Epithelial Component Present
C62211|Extensive Secretory Changes Present
C84787|Incontinentia Pigmenti
C59392|CTCAE Grade 2 Uterus Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59628|CTCAE Grade 3 Uterus Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59864|CTCAE Grade 4 Uterus Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C35321|Coffin-Siris Syndrome
C130985|Cole-Carpenter Syndrome
C118422|Compartment Syndrome
C59395|CTCAE Grade 2 Vagina Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59631|CTCAE Grade 3 Vagina Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59867|CTCAE Grade 4 Vagina Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C60092|CTCAE Grade 5 Ureter Infection with Unknown Absolute Neutrophil Count
C59634|CTCAE Grade 3 Vein Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59398|CTCAE Grade 2 Vein Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59870|CTCAE Grade 4 Vein Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C56151|CTCAE Grade 1 Oral Pain of the Gums
C60095|CTCAE Grade 5 Urethra Infection with Unknown Absolute Neutrophil Count
C56152|CTCAE Grade 2 Oral Pain of the Gums
C56153|CTCAE Grade 3 Oral Pain of the Gums
C59630|CTCAE Grade 3 Vagina Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59866|CTCAE Grade 4 Vagina Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59394|CTCAE Grade 2 Vagina Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59627|CTCAE Grade 3 Uterus Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59391|CTCAE Grade 2 Uterus Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59863|CTCAE Grade 4 Uterus Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C56156|CTCAE Grade 1 Ovulatory Pain
C56157|CTCAE Grade 2 Ovulatory Pain
C56158|CTCAE Grade 3 Ovulatory Pain
C60098|CTCAE Grade 5 Urinary Tract Infection NOS with Unknown Absolute Neutrophil Count
C56162|CTCAE Grade 2 Pain NOS
C56161|CTCAE Grade 1 Pain NOS
C56163|CTCAE Grade 3 Pain NOS
C127605|Volume at End Ventricular Systole
C59397|CTCAE Grade 2 Vein Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59633|CTCAE Grade 3 Vein Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59869|CTCAE Grade 4 Vein Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C119228|Worsened End-Organ Perfusion
C58150|CTCAE Grade 4 Trachea Fistula
C58181|CTCAE Grade 5 Trachea Fistula
C3836|Infertility
C115922|Untreated Childhood Anaplastic Oligodendroglioma
C115920|Untreated Childhood Anaplastic Oligoastrocytoma
C3347|Sexual Dysfunction
C115923|Untreated Childhood Brain Stem Glioma
C5037|Alterations in Hearing
C5038|Alterations in Smell or Taste
C50476|Burning Sensation
C128189|Childhood Absence Epilepsy
C116529|Infantile Spasm
C111815|Shakes
C34739|Jacksonian Seizure
C3310|Paralysis
C78342|Reflex
C120909|Spermatocele
C92754|Change in Uterine Shape
C92771|Early Pregnancy Symptom
C114138|Trial of Birth Labor after Cesarean
C117367|Complete Maternal Surface of Placenta
C95017|Pregnancy and Lactation Status
C117364|Green Fetal Membrane
C131618|Ventricular Involvement Only
C117343|Fused Placenta
C129974|Inosine Triphosphatase Deficiency
C95079|Substance-Induced Sleep Disorder
C26754|Somnolence
C35269|Simple Type Schizophrenia
C35007|Residual Type Schizophrenia
C35185|Subchronic Schizophrenia
C35265|Acanthosis
C132483|Adipocyte Accumulation
C84792|Iridocorneal Endothelial Syndrome
C93279|Fatty-replaced Breast Tissue Present
C95079|Substance-Induced Sleep Disorder
C62506|Anastomosing Cells Connected to the Basal Layer of the Epidermis Present
C54172|Carcinomatous Component Present
C62232|Dilated Terminal Duct Lobular Units Present
C96183|Fibroblastic Proliferation Present
C129975|Isobutyryl-CoA Dehydrogenase Deficiency
C60100|CTCAE Grade 5 Uterus Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C101223|Complete Trisomy 13 Syndrome
C101362|Complete Trisomy 18 Syndrome
C101222|Complete Trisomy 21 Syndrome
C60103|CTCAE Grade 5 Vagina Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C60283|Uterus Infection Adverse Event with Unknown Absolute Neutrophil Count
C60106|CTCAE Grade 5 Vein Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C56154|CTCAE Grade 4 Oral Pain of the Gums
C60286|Vagina Infection Adverse Event with Unknown Absolute Neutrophil Count
C60102|CTCAE Grade 5 Vagina Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C56159|CTCAE Grade 4 Ovulatory Pain
C60099|CTCAE Grade 5 Uterus Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C60289|Vein Infection Adverse Event with Unknown Absolute Neutrophil Count
C56164|CTCAE Grade 4 Pain NOS
C60105|CTCAE Grade 5 Vein Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C53796|Adverse Event Associated with Secondary Malignancy
C115929|Untreated Childhood Cerebellar Astrocytoma
C78177|Anorgasmia
C45233|Respiratory System Finding
C78510|Abnormal Orgasm
C78432|Decreased Libido
C115944|Untreated Childhood Gliomatosis Cerebri
C115930|Untreated Childhood Cerebral Astrocytoma
C50772|Tinnitus
C116374|Ageusia
C116369|Anosmia
C116371|Cacosmia
C117069|Migraine-Triggered Seizure
C35297|Skin Burning Sensation
C50776|Tonic Convulsion
C118507|Neonatal Seizure
C50689|Partial Seizure
C98845|Brachial Plexus Palsy
C64329|Hemiplegia
C43247|Babinski Sign
C75446|Deep Tendon Reflex
C50688|Paresis
C92773|Enlarged Uterus
C81181|Infant Reflex
C92779|Threatened Term Labor
C92797|First Movement
C117371|Gross Placental Abruption
C113342|Premature Thelarche
C118151|Hemosiderin in Intervillous Thrombus
C123814|Jackson-Weiss Syndrome
C117747|West Haven Criteria - West Haven Hepatic Encephalopathy Grade
C111944|Histologic Chorioamnionitis
C27743|Somnolence Syndrome
C94370|Undifferentiated Type Schizophrenia
C35183|Residual Subchronic Schizophrenia
C35183|Residual Subchronic Schizophrenia
C42087|Aggregates of Poorly Differentiated Neuroepithelial Cells Present
C75457|Jacobsen Syndrome
C54019|Apple Green Dichromism Present in Polarized Congo-Red Stained Sections
C53968|Fibrous Septa Present
C62303|Arborising Network of Cords of Basaloid Cells Present
C61534|Endocervical Type Epithelium Present
C61579|Malignant Glandular Epithelium Resembling the Endocervical Epithelium Present
C62235|Dilated Terminal Duct Lobular Units with Acini Lined by More than Two Layers of Columnar Epithelial Cells Present
C61539|Malignant Glandular Epithelium Resembling the Normal Endometrium Present
C62233|Dilated Terminal Duct Lobular Units with Acini Lined by One or Two Layers of Columnar Epithelial Cells Present
C49203|Fibrovascular Septa Present
C84794|Jeune Syndrome
C60292|Vulva Infection Adverse Event with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C98889|Congenital Central Hypoventilation
C99267|Congenital Malformation Syndrome
C34518|Cri du Chat Syndrome
C60295|Wound Infection Adverse Event with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59393|CTCAE Grade 2 Uterus Infection with Unknown Absolute Neutrophil Count
C59865|CTCAE Grade 4 Uterus Infection with Unknown Absolute Neutrophil Count
C59629|CTCAE Grade 3 Uterus Infection with Unknown Absolute Neutrophil Count
C59396|CTCAE Grade 2 Vagina Infection with Unknown Absolute Neutrophil Count
C56165|Pelvis Pain Adverse Event
C59632|CTCAE Grade 3 Vagina Infection with Unknown Absolute Neutrophil Count
C59868|CTCAE Grade 4 Vagina Infection with Unknown Absolute Neutrophil Count
C60291|Vulva Infection Adverse Event Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C56170|Penis Pain Adverse Event
C60294|Wound Infection Adverse Event Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59399|CTCAE Grade 2 Vein Infection with Unknown Absolute Neutrophil Count
C59635|CTCAE Grade 3 Vein Infection with Unknown Absolute Neutrophil Count
C59871|CTCAE Grade 4 Vein Infection with Unknown Absolute Neutrophil Count
C56175|Pericardium Pain Adverse Event
C56270|Other Secondary Malignancy Possibly Related to Cancer Treatment Adverse Event
C78433|Increased Libido
C114962|Untreated Childhood High Grade Astrocytic Tumor
C124042|Air Trapping
C121624|Agonal Respiration
C121626|Airway Compromise
C34960|Psychosexual Dysfunction with Inhibited Sexual Excitement
C78252|Delayed Orgasm
C115948|Untreated Childhood Medulloblastoma
C114961|Untreated Childhood Low Grade Astrocytic Tumor
C94615|De Qi Sensation
C28145|Dysgeusia
C116370|Dysosmia
C116373|Hypogeusia
C116548|Psychogenic Seizure
C34549|Disturbance of Skin Sensation
C38038|Tremor
C50847|Partial Motor Seizure
C102990|Brachial Plexus Palsy Related to Birth
C116723|Erb's Palsy
C116724|Klumpke Palsy
C118863|Oculocardiac Reflex
C78286|Extraocular Muscle Paresis
C122583|Hemiparesis
C113423|Labor After Cesarean
C81254|Grasp Reflex
C81311|Moro Reflex
C110939|Plantar Grasp Reflex
C113155|Meconium Stained Amniotic Fluid
C92831|Mild Uterine Contraction
C117368|Incomplete Maternal Surface of Placenta
C127920|Tunnel Clusters
C118144|Increased Placental Syncytial Knots
C74996|Joubert Syndrome
C117824|West Haven Hepatic Encephalopathy Grade 0
C117825|West Haven Hepatic Encephalopathy Grade 1
C117826|West Haven Hepatic Encephalopathy Grade 2
C117340|Larger Axis of Placenta
C75483|Juvenile X-Linked Retinoschisis
C82986|Architectural Distortion
C35952|Arias-Stella Reaction
C60782|Fibrovascular Stalks Present
C61535|Gastrointestinal Type Epithelium Present
C61065|Entrapped Respiratory Epithelium Present
C62238|Hyperplastic Epithelial Tissue Present
C42067|Ganglioneuroblastoma Component Present
C125711|KSHV Inflammatory Cytokine Syndrome
C59402|CTCAE Grade 2 Vulva Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59638|CTCAE Grade 3 Vulva Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59874|CTCAE Grade 4 Vulva Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C78251|Cytokine Release Syndrome
C50532|Dialyzer First Use Syndrome
C123226|Diarrhea-associated Hemolytic Uremic Syndrome
C59405|CTCAE Grade 2 Wound Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59877|CTCAE Grade 4 Wound Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C59641|CTCAE Grade 3 Wound Infection with Normal Absolute Neutrophil Count or Grade 1 or 2 Neutrophils
C60101|CTCAE Grade 5 Uterus Infection with Unknown Absolute Neutrophil Count
C60104|CTCAE Grade 5 Vagina Infection with Unknown Absolute Neutrophil Count
C56166|CTCAE Grade 1 Pelvis Pain
C56167|CTCAE Grade 2 Pelvis Pain
C56168|CTCAE Grade 3 Pelvis Pain
C59401|CTCAE Grade 2 Vulva Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59637|CTCAE Grade 3 Vulva Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59873|CTCAE Grade 4 Vulva Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C56171|CTCAE Grade 1 Penis Pain
C56172|CTCAE Grade 2 Penis Pain
C56173|CTCAE Grade 3 Penis Pain
C59404|CTCAE Grade 2 Wound Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C59640|CTCAE Grade 3 Wound Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C60107|CTCAE Grade 5 Vein Infection with Unknown Absolute Neutrophil Count
C59876|CTCAE Grade 4 Wound Infection Documented Clinically or Microbiologically with Grade 3 or 4 Neutrophils
C56176|CTCAE Grade 1 Pericardium Pain
C56177|CTCAE Grade 2 Pericardium Pain
C56178|CTCAE Grade 3 Pericardium Pain
C56271|CTCAE Grade 3 Other Secondary Malignancy Possibly Related to Cancer Treatment
C56272|CTCAE Grade 4 Other Secondary Malignancy Possibly Related to Cancer Treatment
C56273|CTCAE Grade 5 Other Secondary Malignancy Possibly Related to Cancer Treatment
C115919|Untreated Childhood Anaplastic Astrocytoma
C78226|Bronchial Stricture
C115942|Untreated Childhood Glioblastoma
